end_time,ms_played,track_name,artist_name,album_name,url
2023-11-22 21:00:00,258588,Ghum Hai Kisi Ke Pyar Mein,Lata Mangeshkar,Lata Mangeshkar Songs Geet,spotify:track:7IqEZMYay7OwgZKICObujt
2023-11-22 21:10:00,221080,Kehna Hai Kehna Hai,Kishore Kumar,Padosan,spotify:track:1KxcQHJf7HC57jomPJ19Qj
2023-11-22 21:20:00,325746,Apni To Jaise Taise Dialogue,Kishore Kumar,Laawaris,spotify:track:04ktwHoyF8ELtSfjz8tc7M
2023-11-22 21:30:00,252760,Zindagi Ka Safar Hai Yeh Kaisa Safar,Kishore Kumar,Revival Vol.7 Yeh Jeevan Hai,spotify:track:2mOBH5czTRRLI8ISc02U7B
2023-11-22 21:40:00,357120,Lekar Hum Diwana Dil,Asha Bhosle,Yaadon Ki Baaraat,spotify:track:4gW8O7mQb1qZ5fl4VcoKi3
2023-11-22 21:50:00,270211,O Meri Soni Meri Tamanna,RD Burman,RD Burman Songs - Vol.1,spotify:track:5WmoQP7u94rbIiehWf2oGZ
2023-11-22 22:00:00,297026,Kanchi Re Kanchi Re,Lata Mangeshkar,Hare Rama Hare Krishna,spotify:track:0dPz77kgQAIl1f4x1IeyTm
2023-11-22 22:10:00,59822,Ek Hasina Thi Ek Diwana Tha,Kishore Kumar,Karz,spotify:track:1QqtOXpvfLPW4yEuAXJKDk
2023-11-22 22:50:00,235829,Aasman Ke Neeche,Lata Mangeshkar,Jewel Thief,spotify:track:4RUBGBppd71QQy4lLJ1mvw
2023-11-22 23:00:00,172396,Mere Samnewali Khidki Mein,Kishore Kumar,Kishore Kumar Masti Ki Chakri,spotify:track:4qFuyUsbJKucXXc4DFQLbY
2023-11-22 23:10:00,215273,Mera Jeevan Kora Kagaz,Kishore Kumar,Kora Kagaz,spotify:track:1MUol1Uw9JKRL7mV17iBwT
2023-11-22 23:30:00,260232,Meet Na Mila Re Man Ka,Kishore Kumar,Abhimaan,spotify:track:0LdTNovRGfMP9dZ0Flk2VS
2023-11-22 23:40:00,264707,Haal Kaisa Hai Janab Ka,Asha Bhosle,Chalti Ka Naam Gaadi,spotify:track:3uvvmqUNKEzZtZWOQrQqq0
2023-11-22 23:50:00,22629,Aa Chal Ke Tujhe,Kishore Kumar,Door Gagan Ki Chhaon Mein,spotify:track:53keqrDTkt1GE9hJgUoql4
2023-11-23 00:00:00,210267,Diye Jalte Hai Phool Khilte Hai,Kishore Kumar,Namak Haraam,spotify:track:0bBAfDAxOO1u0qouRS2Mwm
2023-11-23 00:10:00,281476,Aaye Tum Yaad Mujhe,Kishore Kumar,Mili,spotify:track:1J8wJATs02cTk55Zcbvhx4
2023-11-23 00:20:00,273161,Commentry Tabassum And O Sathi Chal - Seeta Aur Geeta,Tabassum,Flash Back - Asha Bhosle With Tabassum,spotify:track:4ZNofOs5FgcrbmbJw3QDW8
2023-11-23 00:30:00,574,Paisa O Paisa,Kishore Kumar,Karz,spotify:track:3vcVhHWm2JXEpD9aqdyz9K
2023-11-23 00:40:00,273918,Kishore Kumar Speaks And O Mere Dil Ke Chain (Film - Mere Jeevan Saathi),Kishore Kumar,"Baarishein, Chai Aur Kishore",spotify:track:6DWfITTnKLZVGD75Y0zeFh
2023-11-23 00:50:00,5045,Tere Bina Zindagi Se,Lata Mangeshkar,Lata Mangeshkar Songs Geet,spotify:track:4isclMhMivnZzlpBAeXrK7
2023-11-23 01:20:00,295155,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,spotify:track:3OAFzjwWionh8OfM4kgf2R
2023-11-23 01:30:00,1332,Jaane Kyon,Madan Mohan,Veer - Zaara,spotify:track:2UWIOwIxG63aqXK1TDiWVr
2023-11-23 01:40:00,20882,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,spotify:track:7sSYkaAXRgnzoQYrGgrvlX
2023-11-23 01:50:00,1354,Paisa,Manak-E,De Dana Dan,spotify:track:5waPZcxgliOcZxCjswryDb
